Title,Price,URL,Image
Stained Glass: Embellishment (Ships in June),£12.50,https://rainbow-connection.co.uk/collections/new-in/products/stained-glass-embellishment-ships-in-june,//cdn.shopify.com/s/files/1/0252/7163/files/Violet-Embell1-S4W_720x_4c708950-15a0-4038-9e43-f7062b95994c_large.webp?v=1684428046
Stained Glass: Radiance (Ships in June),£12.50,https://rainbow-connection.co.uk/collections/new-in/products/stained-glass-radiance-ships-in-june,//cdn.shopify.com/s/files/1/0252/7163/files/Violet-Rad1-S4W_720x_762ec7d9-9115-469e-a4d7-a4835e13cd26_large.webp?v=1684428187
Fall Me Maybe (Ships end May),£13.50,https://rainbow-connection.co.uk/collections/new-in/products/fall-me-maybe,//cdn.shopify.com/s/files/1/0252/7163/files/fall-me-maybe_large.webp?v=1684135272
All that Glitters: Flutter By (Ships mid June),£13.50,https://rainbow-connection.co.uk/collections/new-in/products/all-that-glitters-flutter-by-ships-end-may,//cdn.shopify.com/s/files/1/0252/7163/files/FlutterBy5_large.jpg?v=1684173659
All that Glitters: Mirror Magic (Ships mid June),£13.50,https://rainbow-connection.co.uk/collections/new-in/products/all-that-glitters-mirror-magic-ships-end-may,//cdn.shopify.com/s/files/1/0252/7163/files/FB_IMG_1683909988898_1024x1024_2x_0d7a1120-516f-48c6-b650-939072d6f9fc_large.jpg?v=1684173851
All that Glitters: Snake Skin (Ships mid June),£13.50,https://rainbow-connection.co.uk/collections/new-in/products/all-that-glitters-snake-skin-ships-end-may,//cdn.shopify.com/s/files/1/0252/7163/files/SnakeSkin.5_large.jpg?v=1684173162
All that Glitters: Turning Tides (Ships mid June),£13.50,https://rainbow-connection.co.uk/collections/new-in/products/all-that-glitters-turning-tides-ships-end-may,//cdn.shopify.com/s/files/1/0252/7163/files/image_24912a74-acbf-42d1-8621-4c5623819f7f_large.jpg?v=1684181425
All that Glitters: Castle In The Sky (Ships mid June),£13.50,https://rainbow-connection.co.uk/collections/new-in/products/all-that-glitters-castle-in-the-sky-ships-end-may,//cdn.shopify.com/s/files/1/0252/7163/files/image_c431d29f-eb63-4d42-af29-8d00455f3937_large.jpg?v=1684173928
Adventureland (Ships end of May),£12.50,https://rainbow-connection.co.uk/collections/new-in/products/adventureland-ships-end-of-may,//cdn.shopify.com/s/files/1/0252/7163/files/Lauren_adventureland-3_f5ff972f-10e5-40ed-b30c-13591b75c995_large.jpg?v=1683919782
Tomorrow Land (Ships end of May),£12.50,https://rainbow-connection.co.uk/collections/new-in/products/tomorrow-land-ships-end-of-may,//cdn.shopify.com/s/files/1/0252/7163/files/image_ad923e6a-746d-4690-9584-32574d7e5818_large.jpg?v=1683919825
Frontier Land (Ships end of May),£12.50,https://rainbow-connection.co.uk/collections/new-in/products/frontier-land-ships-end-of-may,//cdn.shopify.com/s/files/1/0252/7163/files/Caitlin_DSC_2988_large.png?v=1683816777
Fantasy Land (Ships end of May),£12.50,https://rainbow-connection.co.uk/collections/new-in/products/fantasy-land-ships-end-of-may,//cdn.shopify.com/s/files/1/0252/7163/files/Lauren_fantasyland-3_large.jpg?v=1683919919
Kaleidoscope (Ships mid June),£12.00,https://rainbow-connection.co.uk/collections/new-in/products/kaleidoscope-ships-mid-june,//cdn.shopify.com/s/files/1/0252/7163/files/pic-3_1200x_0157eea7-5729-4e00-8dc6-1bb36e9560d0_large.webp?v=1683797739
All Class (Ships mid June),£12.00,https://rainbow-connection.co.uk/collections/new-in/products/all-class-ships-mid-june,//cdn.shopify.com/s/files/1/0252/7163/files/all-class-_reflective-glitter_-new_1200x_8dbe3fb5-6a7a-4096-9669-54a649d1d4f6_large.webp?v=1683797388
Bankroll (Ships mid June),£12.00,https://rainbow-connection.co.uk/collections/new-in/products/bankroll-ships-mid-june,//cdn.shopify.com/s/files/1/0252/7163/files/bankroll-_reflective-glitter_-new_1200x_ff016bd0-1d3f-425f-8c3e-f5f5fa3d9593_large.webp?v=1683797307
High Flyer (Ships mid June),£12.00,https://rainbow-connection.co.uk/collections/new-in/products/high-flyer-ships-mid-june,//cdn.shopify.com/s/files/1/0252/7163/files/high-flyer-_reflective-glitter_-new_1200x_87f363f7-99c0-4fd6-906e-5f24576daa30_large.webp?v=1683797209
Lux (Ships mid June),£12.00,https://rainbow-connection.co.uk/collections/new-in/products/lux-ships-mid-june,//cdn.shopify.com/s/files/1/0252/7163/files/lux-_reflective-glitter_-new_1200x_cbad979b-bf31-4596-ad93-8fba57c53e4b_large.webp?v=1683797125
Player (Ships mid June),£12.00,https://rainbow-connection.co.uk/collections/new-in/products/player-ships-mid-june,//cdn.shopify.com/s/files/1/0252/7163/files/player-_reflective-glitter_-new_1200x_ce19748e-8b67-4e5e-b034-f4076c1ea775_large.webp?v=1683797033
Up Town (Ships mid June),£12.00,https://rainbow-connection.co.uk/collections/new-in/products/up-town-ships-mid-june,//cdn.shopify.com/s/files/1/0252/7163/files/up-town-_reflective-glitter_-new_1200x_229a8362-ce4e-4e98-ab99-d70b6a501f15_large.webp?v=1683796865
VICE 2024: Shopaholic,£12.50,https://rainbow-connection.co.uk/collections/new-in/products/vice-2024-shopaholic,//cdn.shopify.com/s/files/1/0252/7163/files/LOWRES-swatch-anna-shopaholic01_large.jpg?v=1683729309
VICE 2024: Rumor Mill,£12.50,https://rainbow-connection.co.uk/collections/new-in/products/vice-2024-rumor-mill,//cdn.shopify.com/s/files/1/0252/7163/files/LOWRES-swatch-anna-rumormill01_large.jpg?v=1683729454
VICE 2024: Klepto,£12.50,https://rainbow-connection.co.uk/collections/new-in/products/vice-2024-klepto,//cdn.shopify.com/s/files/1/0252/7163/files/LOWRES-swatch-anna-klepto01_large.jpg?v=1683729541
VICE 2024: Hedonist,£12.50,https://rainbow-connection.co.uk/collections/new-in/products/vice-2024-hedonist,//cdn.shopify.com/s/files/1/0252/7163/files/LOWRES-swatch-anna-hedonist01_large.jpg?v=1683729835
VICE 2024: Game Over,£12.50,https://rainbow-connection.co.uk/collections/new-in/products/vice-2024-game-over,//cdn.shopify.com/s/files/1/0252/7163/files/LOWRES-swatch-anna-gameover01_large.jpg?v=1683729753
VICE 2024: C.R.E.A.M.,£12.50,https://rainbow-connection.co.uk/collections/new-in/products/vice-2024-c-r-e-a-m,//cdn.shopify.com/s/files/1/0252/7163/files/LOWRES-swatch-anna-C.R.E.A.M01_large.jpg?v=1683729661
Pretty Fly for a Mai Tai,£12.50,https://rainbow-connection.co.uk/collections/new-in/products/pretty-fly-for-a-mai-tai,//cdn.shopify.com/s/files/1/0252/7163/files/image_08ac9f13-7cd0-478c-8541-e2f78eead660_large.jpg?v=1683749104
Limbo Lover,£12.50,https://rainbow-connection.co.uk/collections/new-in/products/limbo-for-me,//cdn.shopify.com/s/files/1/0252/7163/files/image_0e0ad08e-0b69-48d4-91bb-e51ce5a53456_large.jpg?v=1683749086
Shake Your Grass for Me,£12.50,https://rainbow-connection.co.uk/collections/new-in/products/shake-your-grass-for-me,//cdn.shopify.com/s/files/1/0252/7163/files/image_b221d614-dbae-46ab-b43d-b3f3b5436005_large.jpg?v=1683749077
Hula This Way,£12.50,https://rainbow-connection.co.uk/collections/new-in/products/hula-this-way,//cdn.shopify.com/s/files/1/0252/7163/files/image_b71b34d7-8898-41b5-a81f-04695702d3c9_large.jpg?v=1683749062
